time,MPFc_1,preMPFc_1,StgPc_1,Wee1c_1,Wee1Pc_1,Stgm_1,Xp_1,Stgc_1,Xm_1,MPFn_1,preMPFn_1,Wee1Pn_1,Wee1n_1,StgPn_1,Stgn_1,FZYa_1,IEa_1_1,N_1,nuclei_1,cytoplasm_1,ksc_1,kdc_1,kdnp_1,kdn_1,kaie_1,kiie_1,kafzy_1,kifzy_1,kweep_1,kwee_1,kstgp_1,kstg_1,ksstg_1,kdstg_1,kastgp_1,kastg_1,kistg_1,kawee_1,kiweep_1,kiwee_1,kt_1,Jaie_1,Jiie_1,Jafzy_1,Jifzy_1,Jastg_1,Jistg_1,Jawee_1,Jiwee_1,Jm_1,kdmp_1,kdm_1,koutw_1_1,kinw_1_1,kouts_1_1,kins_1_1,kez_1_1,factor_1_1,E_1_1,ksxp_1_1,ksxm_1_1,kout_1_1,CycBT_1,StringT_1,Wee1T_1,StgPT_1
0.0,1.0,0.0,0.8,0.0,0.8000560039202744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.99993,0.8,0.8,0.799944
0.25,0.9961698931093931,0.0038274849890800092,0.7814473737857431,0.018345644320280803,0.781709800221297,0.9995238146640641,1.5625000000190393e-08,0.018551508932166068,0.0001249999999999999,0.03735649840534094,9.648420932922815e-05,0.004397279626936576,0.0035932852316263937,0.00896805717429616,0.006991998236093441,3.4058201010075736e-05,0.0008906181109824322,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299999907892,0.8,0.8,0.7813933002335803
0.5,0.9926904619656224,0.007304300784706703,0.7802873157843129,0.019446134697817107,0.780608751862154,0.9990476385744778,6.250000000019035e-08,0.0197104552255313,0.0002499999999999999,0.07435242034669753,0.0004587073899680158,0.006654147533883691,0.009307025154588448,0.013580211722986282,0.018260275764704858,9.055237249990706e-05,0.002064830429823531,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299998958782,0.8,0.8,0.7802336462870286
0.75,0.99038540393742,0.009606750001818619,0.7801302630416255,0.019592258620210305,0.7804620713517553,0.9985714701817099,1.406250000001904e-07,0.0198664018063694,0.0003750000000000001,0.11094157470209022,0.001131255295839837,0.009245561051960175,0.014666312268351902,0.018502296153219345,0.02913939730308614,0.00015995659307203525,0.003491890995590508,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299995865627,0.8,0.8,0.7800769490839433
1.0,0.9888959016910497,0.011093649957812103,0.7800726570581372,0.019646372935213846,0.7804074018388673,0.9980953079385098,2.5000000000019036e-07,0.019922907146554213,0.0005000000000000001,0.14710154887423854,0.00213430246320525,0.012546377797222716,0.019296338676615597,0.024617476452252315,0.038746592116235636,0.0002465960885369186,0.0052541243570109405,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.99992999888984,0.8,0.8,0.7800197751954948
1.25,0.9879357000643747,0.012051255798525702,0.7800384560351291,0.01967837952879527,0.7803748414340501,0.9976191502999069,3.9062500000019044e-07,0.019956013017274246,0.0006250000000000002,0.18282520369349806,0.003471799701681849,0.016566222801381363,0.02318752894323016,0.03211842648687371,0.04688957961772447,0.0003570269967245512,0.007469420435699435,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299975662277,0.8,0.8,0.7799861016330607
1.5,0.9873165494104537,0.012667817154642522,0.7800161890992002,0.01969888866562752,0.7803537798691677,0.997142995723211,5.625000000001906e-07,0.01997719026453429,0.0007500000000000002,0.2181213722711398,0.005130274046149764,0.02127856814222078,0.026366460462100106,0.04109559671157585,0.05347830067137193,0.0005011414022681493,0.010308425246631498,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299952746787,0.8,0.8,0.7799644646577331
1.75,0.9869169866794613,0.013064797059770766,0.7800014438628865,0.019712122336782573,0.7803399951496935,0.9966668426680119,7.656250000001908e-07,0.019990851248542992,0.0008750000000000002,0.2530157230084442,0.007077140609043664,0.02666240452370957,0.028854191877389992,0.05162631734595822,0.05843581442364448,0.0006941520406497574,0.014018584309588659,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299915148235,0.8,0.8,0.7799504576040304
2.0,0.9866588029755479,0.01332040439358342,0.7799915328973902,0.019720678717035197,0.7803308890974067,0.9961906895961802,1.000000000000191e-06,0.019999683370976087,0.0010000000000000002,0.2875498588087022,0.009260225746187631,0.032696676296448964,0.030671828063378544,0.06376673186488867,0.06170636482322098,0.0009597809592910282,0.01895406258730705,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299855305342,0.8,0.8,0.7799413971613179
2.25,0.986491647570455,0.013484989868202702,0.7799847430344032,0.019726217104460604,0.7803248024107946,0.9957145349718668,1.2656250000001913e-06,0.020005399773155068,0.0011250000000000003,0.3217775038394649,0.011609265260193432,0.03935083611458757,0.0318499654678547,0.0775263752461076,0.06328080238308599,0.0013353783441623947,0.025606331060295674,1.0,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.9999299761478739,0.8,0.8,0.7799355709486581
